COD_PROVINCIA,COD_PROVMUNI,MUNICIPIO,POBLACION_1999,2001_SALDO_TOTAL,2001_SALDO_HOMBRES,2001_SALDO_MUJERES,2001_SALDOEXT_TOTAL,2001_SALDOEXT_HOMBRES,2001_SALDOEXT_MUJERES,2001_SALDOTOTAL_MENORES,2001_SALDOTOTAL_ESTUDIANTES,2001_SALDOTOTAL_TRABAJADORES,2001_SALDOTOTAL_MADUREZ1,2001_SALDOTOTAL_MADUREZ2,2001_SALDOTOTAL_JUBILADOS,2001_SALDOHOMBRES_MENORES,2001_SALDOHOMBRES_ESTUDIANTES,2001_SALDOHOMBRES_TRABAJADORES,2001_SALDOHOMBRES_MADUREZ1,2001_SALDOHOMBRES_MADUREZ2,2001_SALDOHOMBRES_JUBILADOS,2001_SALDOMUJERES_MENORES,2001_SALDOMUJERES_ESTUDIANTES,2001_SALDOMUJERES_TRABAJADORES,2001_SALDOMUJERES_MADUREZ1,2001_SALDOMUJERES_MADUREZ2,2001_SALDOMUJERES_JUBILADOS,2001_SALDOEXT_MENORES,2001_SALDOEXT_ESTUDIANTES,2001_SALDOEXT_TRABAJADORES,2001_SALDOEXT_MADUREZ1,2001_SALDOEXT_MADUREZ2,2001_SALDOEXT_JUBILADOS,2001_SALDOEXT_HOMBRES_MENORES,2001_SALDOEXT_HOMBRES_ESTUDIANTES,2001_SALDOEXT_HOMBRES_TRABAJADORES,2001_SALDOEXT_HOMBRES_MADUREZ1,2001_SALDOEXT_HOMBRES_MADUREZ2,2001_SALDOEXT_HOMBRES_JUBILADOS,2001_SALDOEXT_MUJERES_MENORES,2001_SALDOEXT_MUJERES_ESTUDIANTES,2001_SALDOEXT_MUJERES_TRABAJADORES,2001_SALDOEXT_MUJERES_MADUREZ1,2001_SALDOEXT_MUJERES_MADUREZ2,2001_SALDOEXT_MUJERES_JUBILADOS
46,46122,Faura,2847,-20,-10,-10,9,7,2,0,-6,1,1,-12,-4,0,-1,1,1,-9,-2,0,-5,0,0,-3,-2,1,2,5,0,1,0,1,2,4,0,0,0,0,0,1,0,1,0
46,46126,Foios,5304,267,158,109,61,48,13,19,50,136,33,12,17,6,27,87,21,7,9,13,23,49,12,5,8,5,19,29,7,1,0,3,13,25,6,1,0,2,6,4,1,0,0
46,46127,"Font d'En Carròs, la",3180,51,28,23,48,22,26,4,16,7,12,10,0,4,2,6,6,9,0,0,14,1,6,1,0,9,9,6,11,11,2,4,1,5,5,6,1,5,8,1,6,5,1
46,46129,Fuenterrobles,708,-1,-2,1,8,4,4,0,1,-4,1,4,-3,0,1,-3,1,1,-2,0,0,-1,0,3,-1,1,4,1,0,2,0,0,2,1,0,1,0,1,2,0,0,1,0
46,46131,Gandia,58676,1943,1029,914,1619,908,711,357,452,568,341,147,58,179,231,331,182,77,25,178,221,237,159,70,33,298,388,505,281,101,35,158,207,305,160,58,14,140,181,200,121,43,21
46,46132,Genovés,2351,25,17,8,8,5,3,7,6,6,5,2,-1,3,5,4,4,1,0,4,1,2,1,1,-1,0,2,6,0,0,0,0,2,3,0,0,0,0,0,3,0,0,0
46,46133,Gestalgar,696,-29,-9,-20,3,2,1,-1,-3,-6,-3,-8,-8,0,0,-2,1,-5,-3,-1,-3,-4,-4,-3,-5,0,1,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
46,46135,Godella,11058,237,124,113,96,50,46,104,10,18,88,10,4,64,1,-5,51,11,1,40,9,23,37,-1,3,22,21,25,19,6,3,10,10,17,9,3,1,12,11,8,10,3,2
46,46136,Godelleta,2174,94,44,50,46,24,22,17,12,27,29,9,0,8,5,11,16,3,0,9,7,16,13,6,0,10,8,15,11,1,0,6,3,7,6,1,0,4,5,8,5,0,0
46,46139,Guadassuar,5331,89,62,27,60,39,21,15,16,36,18,3,1,12,10,25,13,3,-1,3,6,11,5,0,2,8,14,23,11,4,0,6,9,15,7,2,0,2,5,8,4,2,0
